,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_FT_DM_Lec01/1,SET Discrete Mathematics (DM),8/4/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
2,DICT-DNDFC_221_FT_DM_Lec02/1,SET Discrete Mathematics (DM),14/4/2021,Wednesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
3,DICT-DNDFC_221_FT_DM_Lec03/1,SET Discrete Mathematics (DM),16/4/2021,Friday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
4,DICT-DNDFC_221_FT_DM_Lec04/1,SET Discrete Mathematics (DM),23/4/2021,Friday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
5,DICT-DNDFC_221_FT_DM_Lec05/1,SET Discrete Mathematics (DM),27/4/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
6,DICT-DNDFC_221_FT_DM_Lec06/1,SET Discrete Mathematics (DM),6/5/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
7,DICT-DNDFC_221_FT_DM_Lec07/1,SET Discrete Mathematics (DM),17/5/2021,Monday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
8,DICT-DNDFC_221_FT_DM_Lec08/1,SET Discrete Mathematics (DM),20/5/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
9,DICT-DNDFC_221_FT_DM_Lec09/1,SET Discrete Mathematics (DM),27/5/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
10,DICT-DNDFC_221_FT_DM_Lec10/1,SET Discrete Mathematics (DM),3/6/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
