,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_FT_ISOG_Lec01/1,SET Information Systems and the Organisations (ISOG),9/4/2021,Friday,12:00:00,15:00:00,3:00,Online Learning,60,Lee Han John,Jackson
2,DICT-DNDFC_221_FT_ISOG_Lec02/1,SET Information Systems and the Organisations (ISOG),15/4/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Lee Han John,Jackson
3,DICT-DNDFC_221_FT_ISOG_Lec03/1,SET Information Systems and the Organisations (ISOG),19/4/2021,Monday,12:00:00,15:00:00,3:00,Online Learning,60,Lee Han John,Jackson
4,DICT-DNDFC_221_FT_ISOG_Lec04/1,SET Information Systems and the Organisations (ISOG),26/4/2021,Monday,12:00:00,15:00:00,3:00,Online Learning,60,Lee Han John,Jackson
5,DICT-DNDFC_221_FT_ISOG_Lec05/1,SET Information Systems and the Organisations (ISOG),7/5/2021,Friday,15:30:00,18:30:00,3:00,Online Learning,30,Lee Han John,Jackson
6,DICT-DNDFC_221_FT_ISOG_Lec06/1,SET Information Systems and the Organisations (ISOG),10/5/2021,Monday,12:00:00,15:00:00,3:00,Online Learning,30,Lee Han John,Jackson
7,DICT-DNDFC_221_FT_ISOG_Lec07/1,SET Information Systems and the Organisations (ISOG),14/5/2021,Friday,15:30:00,18:30:00,3:00,Online Learning,30,Lee Han John,Jackson
8,DICT-DNDFC_221_FT_ISOG_Lec08/1,SET Information Systems and the Organisations (ISOG),19/5/2021,Wednesday,12:00:00,15:00:00,3:00,Online Learning,30,Lee Han John,Jackson
9,DICT-DNDFC_221_FT_ISOG_Lec09/1,SET Information Systems and the Organisations (ISOG),28/5/2021,Friday,12:00:00,15:00:00,3:00,Online Learning,30,Lee Han John,Jackson
10,DICT-DNDFC_221_FT_ISOG_Lec10/1,SET Information Systems and the Organisations (ISOG),2/6/2021,Wednesday,12:00:00,15:00:00,3:00,Online Learning,30,Lee Han John,Jackson
