,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_FT_DCNG_Lab01GrpA/1,SET Data Communication & Networking,29/4/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
2,DICT-DNDFC_221_FT_DCNG_Lab01GrpB/1,SET Data Communication & Networking,4/5/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
3,DICT-DNDFC_221_FT_DCNG_Lab02GrpA/1,SET Data Communication & Networking,18/5/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
4,DICT-DNDFC_221_FT_DCNG_Lab02GrpB/1,SET Data Communication & Networking,25/5/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
5,DICT-DNDFC_221_FT_DCNG_Lec01/1,SET Data Communication & Networking,6/4/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
6,DICT-DNDFC_221_FT_DCNG_Lec02/1,SET Data Communication & Networking,13/4/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
7,DICT-DNDFC_221_FT_DCNG_Lec03/1,SET Data Communication & Networking,20/4/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
8,DICT-DNDFC_221_FT_DCNG_Lec04/1,SET Data Communication & Networking,22/4/2021,Thursday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
9,DICT-DNDFC_221_FT_DCNG_Lec05/1,SET Data Communication & Networking,11/5/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
10,DICT-DNDFC_221_FT_DCNG_Lec06/1,SET Data Communication & Networking,12/5/2021,Wednesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
11,DICT-DNDFC_221_FT_DCNG_Lec07/1,SET Data Communication & Networking,27/5/2021,Thursday,8:30:00,11:30:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
12,DICT-DNDFC_221_FT_DCNG_Lec08/1,SET Data Communication & Networking,1/6/2021,Tuesday,12:00:00,15:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
