,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_PT_CHFI_Lec01/1,SET Computer Hacking Forensics Investigator (CHFI),5/4/2021,Monday,19:00:00,22:00:00,3:00,A01,30,Lau Jun Tian Terence,Marina
2,DICT-DNDFC_221_PT_CHFI_Lec02/1,SET Computer Hacking Forensics Investigator (CHFI),14/4/2021,Wednesday,19:00:00,22:00:00,3:00,A01,30,Lau Jun Tian Terence,Marina
3,DICT-DNDFC_221_PT_CHFI_Lec03/1,SET Computer Hacking Forensics Investigator (CHFI),19/4/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
4,DICT-DNDFC_221_PT_CHFI_Lec04/1,SET Computer Hacking Forensics Investigator (CHFI),21/4/2021,Wednesday,19:00:00,22:00:00,3:00,B05/B06,30,Lau Jun Tian Terence,Marina
5,DICT-DNDFC_221_PT_CHFI_Lec05/1,SET Computer Hacking Forensics Investigator (CHFI),26/4/2021,Monday,19:00:00,22:00:00,3:00,MBA1,30,Lau Jun Tian Terence,Marina
6,DICT-DNDFC_221_PT_CHFI_Lec06/1,SET Computer Hacking Forensics Investigator (CHFI),28/4/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
7,DICT-DNDFC_221_PT_CHFI_Lec07/1,SET Computer Hacking Forensics Investigator (CHFI),5/5/2021,Wednesday,19:00:00,22:00:00,3:00,B05/B06,30,Lau Jun Tian Terence,Marina
8,DICT-DNDFC_221_PT_CHFI_Lec08/1,SET Computer Hacking Forensics Investigator (CHFI),1/6/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
9,DICT-DNDFC_221_PT_CHFI_Lec09/1,SET Computer Hacking Forensics Investigator (CHFI),17/5/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
10,DICT-DNDFC_221_PT_CHFI_Lec10/1,SET Computer Hacking Forensics Investigator (CHFI),19/5/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
11,DICT-DNDFC_221_PT_CHFI_Lec11/1,SET Computer Hacking Forensics Investigator (CHFI),24/5/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
12,DICT-DNDFC_221_PT_CHFI_Lec12/1,SET Computer Hacking Forensics Investigator (CHFI),31/5/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
13,DICT-DNDFC_221_PT_CHFI_Lec13/1,SET Computer Hacking Forensics Investigator (CHFI),2/6/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,30,Lau Jun Tian Terence,Marina
