,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_PT_DCNG_Lab01GrpA/1,SET Data Communication & Networking (DCNG),21/4/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
2,DICT-DNDFC_221_PT_DCNG_Lab01GrpB/1,SET Data Communication & Networking (DCNG),27/4/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
3,DICT-DNDFC_221_PT_DCNG_Lab02GrpA/1,SET Data Communication & Networking (DCNG),14/5/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
4,DICT-DNDFC_221_PT_DCNG_Lab02GrpB/1,SET Data Communication & Networking (DCNG),20/5/2021,Thursday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
5,DICT-DNDFC_221_PT_DCNG_Lec01/1,SET Data Communication & Networking (DCNG),9/4/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
6,DICT-DNDFC_221_PT_DCNG_Lec02/1,SET Data Communication & Networking (DCNG),12/4/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
7,DICT-DNDFC_221_PT_DCNG_Lec03/1,SET Data Communication & Networking (DCNG),15/4/2021,Thursday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
8,DICT-DNDFC_221_PT_DCNG_Lec04/1,SET Data Communication & Networking (DCNG),19/4/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
9,DICT-DNDFC_221_PT_DCNG_Lec05/1,SET Data Communication & Networking (DCNG),6/5/2021,Thursday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
10,DICT-DNDFC_221_PT_DCNG_Lec06/1,SET Data Communication & Networking (DCNG),11/5/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
11,DICT-DNDFC_221_PT_DCNG_Lec07/1,SET Data Communication & Networking (DCNG),28/5/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
12,DICT-DNDFC_221_PT_DCNG_Lec08/1,SET Data Communication & Networking (DCNG),1/6/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,60,Dr Liau Vui Kien,Jackson
