,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_PT_DDMG_Lab01GrpA/1,SET Database Design & Modelling (DDMG),29/4/2021,Thursday,19:00:00,22:00:00,3:00,D01,48,Ankit Saurabh,Jackson
2,DICT-DNDFC_221_PT_DDMG_Lab01GrpB/1,SET Database Design & Modelling (DDMG),4/5/2021,Tuesday,19:00:00,22:00:00,3:00,D01,48,Ankit Saurabh,Jackson
3,DICT-DNDFC_221_PT_DDMG_Lab02GrpA/1,SET Database Design & Modelling (DDMG),10/5/2021,Monday,19:00:00,22:00:00,3:00,D01,48,Ankit Saurabh,Jackson
4,DICT-DNDFC_221_PT_DDMG_Lab02GrpB/1,SET Database Design & Modelling (DDMG),19/5/2021,Wednesday,19:00:00,22:00:00,3:00,D01,48,Ankit Saurabh,Jackson
5,DICT-DNDFC_221_PT_DDMG_Lec01/1,SET Database Design & Modelling (DDMG),7/4/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
6,DICT-DNDFC_221_PT_DDMG_Lec02/1,SET Database Design & Modelling (DDMG),13/4/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
7,DICT-DNDFC_221_PT_DDMG_Lec03/1,SET Database Design & Modelling (DDMG),14/4/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
8,DICT-DNDFC_221_PT_DDMG_Lec04/1,SET Database Design & Modelling (DDMG),22/4/2021,Thursday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
9,DICT-DNDFC_221_PT_DDMG_Lec05/1,SET Database Design & Modelling (DDMG),26/4/2021,Monday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
10,DICT-DNDFC_221_PT_DDMG_Lec06/1,SET Database Design & Modelling (DDMG),28/4/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
11,DICT-DNDFC_221_PT_DDMG_Lec07/1,SET Database Design & Modelling (DDMG),21/5/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
12,DICT-DNDFC_221_PT_DDMG_Lec08/1,SET Database Design & Modelling (DDMG),2/6/2021,Wednesday,19:00:00,22:00:00,3:00,Online Learning,48,Ankit Saurabh,Jackson
