,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
1,DICT-DNDFC_221_PT_EHC_Lec01/1,SET Ethical Hacking & Countermeasures (EHC),8/4/2021,Thursday,19:00:00,22:00:00,3:00,A01,30,Kelvin Wu,Marina
2,DICT-DNDFC_221_PT_EHC_Lec02/1,SET Ethical Hacking & Countermeasures (EHC),9/4/2021,Friday,19:00:00,22:00:00,3:00,A01,30,Kelvin Wu,Marina
3,DICT-DNDFC_221_PT_EHC_Lec03/1,SET Ethical Hacking & Countermeasures (EHC),13/4/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,30,Kelvin Wu,Marina
4,DICT-DNDFC_221_PT_EHC_Lec04/1,SET Ethical Hacking & Countermeasures (EHC),16/4/2021,Friday,19:00:00,22:00:00,3:00,A01,30,Kelvin Wu,Marina
5,DICT-DNDFC_221_PT_EHC_Lec05/1,SET Ethical Hacking & Countermeasures (EHC),23/4/2021,Friday,19:00:00,22:00:00,3:00,A01,30,Kelvin Wu,Marina
6,DICT-DNDFC_221_PT_EHC_Lec06/1,SET Ethical Hacking & Countermeasures (EHC),29/4/2021,Thursday,19:00:00,22:00:00,3:00,Online Learning,30,Kelvin Wu,Marina
7,DICT-DNDFC_221_PT_EHC_Lec07/1,SET Ethical Hacking & Countermeasures (EHC),6/5/2021,Thursday,19:00:00,22:00:00,3:00,A01,30,Kelvin Wu,Marina
8,DICT-DNDFC_221_PT_EHC_Lec08/1,SET Ethical Hacking & Countermeasures (EHC),7/5/2021,Friday,19:00:00,22:00:00,3:00,A01,30,Kelvin Wu,Marina
9,DICT-DNDFC_221_PT_EHC_Lec09/1,SET Ethical Hacking & Countermeasures (EHC),11/5/2021,Tuesday,19:00:00,22:00:00,3:00,Online Learning,30,Kelvin Wu,Marina
10,DICT-DNDFC_221_PT_EHC_Lec10/1,SET Ethical Hacking & Countermeasures (EHC),14/5/2021,Friday,19:00:00,22:00:00,3:00,MBA1,30,Kelvin Wu,Marina
11,DICT-DNDFC_221_PT_EHC_Lec11/1,SET Ethical Hacking & Countermeasures (EHC),21/5/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,30,Kelvin Wu,Marina
12,DICT-DNDFC_221_PT_EHC_Lec12/1,SET Ethical Hacking & Countermeasures (EHC),28/5/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,30,Kelvin Wu,Marina
13,DICT-DNDFC_221_PT_EHC_Lec13/1,SET Ethical Hacking & Countermeasures (EHC),4/6/2021,Friday,19:00:00,22:00:00,3:00,Online Learning,30,Kelvin Wu,Marina
